康承	こう しょう,こう じょう	2
康文	こう ぶん	2
康文	こう ぶん	9
康楽	こう らく	4
康豊	こう ほう	3
康長	こう ちょう	1
延世	えん せい	7
延仁	えん にん	3
延化	えん か	1
延善	えん ぜん	1
延嘉	えん か	11
延寿	えん じゅ	14
延弘	えん こう	1
延祚	えん そ	16
延祥	えん しょう,えん じょう	1
延禄	えん ろく	7
廷正	てい しょう	1
建万	けん まん	2
建中	けん ちゅう	1
建久	けん きゅう	1
建光	けん こう	1
建初	けん しょ	1
建功	けん こう	1
建和	けん わ	2
建嘉	けん か	1
建大	けん たい	3
建太	けん だい	1
建安	けん あん	3
建定	けん てい	7
建寿	けん じゅ	1
建平	けん へい	5
建承	けん しょう,けん じょう	1
建文	けん ぶん	7
建明	けん めい	6
建正	けん しょう	26
建禄	けん ろく	2
建福	けん ぷく	1
建聖	けん せい	1
建貞	けん てい	1
弘保	こう ほう	10
弘元	こう げん	3
弘建	こう けん	1
弘徳	こう とく	13
弘応	こう おう	1
弘文	こう ぶん	1
弘暦	こう りゃく	4
弘永	こう えい	1
得寿	とく じゅ	1
徳久	とく きゅう	3
徳仁	とく にん	1
徳保	とく ほう	1
徳元	とく げん	2
徳化	とく か	1
徳和	とく わ	9
徳善	とく ぜん	1
徳嘉	とく か	1
徳安	とく あん	3
徳寿	とく じゅ	1
徳延	とく えん	4
徳建	とく けん	1
徳政	とく せい	1
徳斉	とく さい	1
徳暦	とく りゃく	5
徳永	とく えい	5
徳祚	とく そ	1
徳禄	とく ろく	2
応久	おう きゅう	1
応元	おう げん	4
応宝	おう ほう	1
応寛	おう かん	2
応平	おう へい	2
応暦	おう りゃく	9
応烋	おう こう,おう きゅう	1
応禄	おう ろく	1
応観	おう かん	1
応観	おう かん	2
恒久	こう きゅう	1
恒久	こう きゅう	13
恭明	きょう めい	1
慎徳	しん とく	1
慶仁	けい にん	1
慶延	けい えん	8
慶徳	けい とく	2
慶成	けい せい	1
慶永	けい えい	1
慶治	けい じ	1
成功	せい こう	1
成和	せい わ	1
成徳	せい とく	15
成治	せい じ	1
戴徳	たい とく	2
承天	じょう てん,しょう てん	7
承宝	じょう ほう,しょう ほう	12
承寛	じょう かん,しょう かん	1
承寧	じょう ねい,しょう ねい	1
承延	じょう えん,しょう えん	4
承慶	じょう けい,しょう けい,じょう きょう,じょう きょう	5
承禄	じょう ろく,しょう ろく	4
承統	じょう とう,しょう とう	1
政化	せい か	2
政和	せい わ	18
政善	せい ぜん	1
政善	せい ぜん	2
政平	せい へい	3
政徳	せい とく	1
政教	せい きょう	1
政治	せい じ	7
政至	せい し	1
敬徳	けい とく	1
文万	ぶん まん	1
文享	ぶん きょう	1
文仁	ぶん にん	17
文元	ぶん げん	15
文功	ぶん こう	2
文同	ぶん どう	3
文嘉	ぶん か	6
文始	ぶん し	1
文定	ぶん てい	3
文寛	ぶん かん	5
文寛	ぶん かん	6
文平	ぶん へい	2
文康	ぶん こう	4
文建	ぶん けん	3
文弘	ぶん こう	13
文承	ぶん しょう,ぶん じょう	20
文昭	ぶん しょう	15
文熙	ぶん き	1
文祥	ぶん しょう,ぶん じょう	1
文観	ぶん かん	7
文邦	ぶん ぽう	1
文長	ぶん ちょう	24
文隆	ぶん りゅう	1
斉万	さい まん	2
斉徳	さい とく	1
斉徳	さい とく	2
斉治	さい じ	1
斉泰	さい たい	1
明万	めい まん	1
明享	めい きょう	1
明保	めい ほう	6
明保	めい ほう	7
明化	めい か	2
明安	めい あん	5
明定	めい てい	1
明宝	めい ほう	1
明建	めい けん	1
明徴	めい ちょう	1
明政	めい せい	1
明教	めい きょう	1
明長	めい ちょう	1
明順	めい じゅん	1
昭化	しょう か	1
昭建	しょう けん	1
昭徳	しょう とく	1
昭応	しょう おう	1
昭長	しょう ちょう	1
暦万	りゃく まん	3
暦久	りゃく きゅう	2
暦和	りゃく わ	1
暦長	りゃく ちょう	2
有治	ゆう じ	1
柔嘉	じゅう か	1
欽永	きん えい	1
正万	しょう まん	2
正仁	しょう にん	1
正化	しょう か	1
正吉	しょう きつ	1
正建	しょう けん	1
正弘	しょう こう	2
正永	しょう えい	10
正禄	しょう ろく	1
正観	しょう かん	2
武功	ぶ こう	1
永世	えい せい	1
永光	えい こう	1
永受	えい じゅ	3
永吉	えい きつ	3
永同	えい どう	1
永命	えい めい	2
永基	えい き	1
永大	えい たい	1
永安	えい あん	16
永宝	えい ほう	2
永宝	えい ほう	5
永寧	えい ねい	10
永平	えい へい	5
永康	えい こう	2
永昌	えい しょう	1
永明	えい めい	2
永清	えい しん	1
永禎	えい てい3
永貞	えい てい	3
永錫	えい せき,えい しゃく	2
永隆	えい りゅう	1
治万	じ まん	9
治和	じ わ	7
治定	じ てい	1
治平	じ へい	2
治延	じ えん	1
治建	じ けん	4
治徳	じ とく	6
治応	じ おう	1
治政	じ せい	1
治昌	じ しょう	1
泰和	たい わ	2
洪徳	こう とく	1
洪徳	こう とく	4
洽和	こう わ	1
淳仁	じゅん にん	2
淳徳	じゅん とく	3
淳紀	じゅん き	1
漢徳	かん とく	1
熙康	き こう	1
玄通	げん つう	1
瑞応	ずい おう	4
用保	よう ほう	1
皆安	かい あん	1
盛徳	せい とく	2
監徳	かん とく	8
監漢	かん かん	1
礼道	れい どう	1
祉長	し ちょう	1
神化	じん か	1
神和	じん わ	1
祟徳	す とく	1
祥久	しょう きゅう,じょう きゅう	1
祥和	しょう わ,じょう わ	1
祥応	しょう おう,じょう おう	2
祥見	しょう けん,じょう けん	1
禄永	ろく えい	1
禄長	ろく ちょう	3
禎応	ろく おう	1
禎祥	ろく しょう,ろく じょう	2
福応	ふく おう	3
秉徳	へい とく	1
立徳	りっ とく	2
立成	りっ せい	1
竜徳	りゅう とく	1
章明	しょう めい	2
紹明	しょう めい	1
綏禄	すい ろく	1
継天	けい てん	1
継天	けい てん	3
継明	けい めい	1
義同	ぎ どう	1
能安	のう あん	1
能成	のう せい	1
至元	し げん	6
至安	し あん	2
至平	し へい	1
至正	し しょう	3
至治	し じ	2
至聖	し せい	1
興化	こう か	1
興徳	こう とく	1
興文	こう ぶん	1
観仁	かん にん	2
観国	かん こく	1
観徳	かん とく	5
貞久	じょう きゅう,てい きゅう	11
貞亨	じょう きょう,てい きょう	1
貞勝	じょう しょう,てい しょう	1
貞吉	じょう きつ,てい きつ	2
貞嘉	じょう か,てい か	1
貞徳	じょう とく,てい とく	3
貞正	じょう しょう,てい しょう	22
載徳	さい とく	2
輔徳	ほ とく	1
遐長	か ちょう	1
長万	ちょう まん	1
長仁	ちょう にん	3
長喜	ちょう き	1
長嘉	ちょう か	4
長寧	ちょう ねい	1
長寿	ちょう じゅ	4
長平	ちょう へい	1
長応	ちょう おう	3
長慶	ちょう きょう,ちょう けい	2
長正	ちょう しょう	1
長永	ちょう えい	2
長祥	ちょう しょう,ちょう じょう	12
長育	ちょう いく	2
長観	ちょう かん	1
長養	ちょう よう	8
開成	かい せい	1
陽安	よう あん	1
隆治	りゅう じ	1
雍和	よう わ	1
靖寛	せい かん	1
順享	じゅん きょう	1
順安	じゅん あん	1
順応	じゅん おう	2
順明	じゅん めい	1
順治	じゅん じ	1
顕嘉	けん か	3
顕応	けん おう	5
顕祥	けん しょう,けん じょう	1
養万	よう まん	3
養仁	よう にん	3
養元	よう げん	8
養寛	よう かん	1
養寿	よう じゅ	7
養治	よう じ	5
高克	こう こく	1
